Date,Ticker,Long Count,Exit Long Count,Short Count,Exit Short Count,Long - Short Cout
2024-05-01 00:00:00+00:00,EGX50LASTEWIMB,2,48,37,13,-35
2024-05-02 00:00:00+00:00,EGX50LASTEWIMB,4,46,37,13,-33
2024-05-07 00:00:00+00:00,EGX50LASTEWIMB,6,44,33,17,-27
2024-05-08 00:00:00+00:00,EGX50LASTEWIMB,7,43,33,17,-26
2024-05-09 00:00:00+00:00,EGX50LASTEWIMB,7,43,32,18,-25
2024-05-12 00:00:00+00:00,EGX50LASTEWIMB,7,43,32,18,-25
2024-05-13 00:00:00+00:00,EGX50LASTEWIMB,7,43,32,18,-25
2024-05-14 00:00:00+00:00,EGX50LASTEWIMB,11,39,27,23,-16
2024-05-15 00:00:00+00:00,EGX50LASTEWIMB,15,35,24,26,-9
2024-05-16 00:00:00+00:00,EGX50LASTEWIMB,26,24,17,33,9
2024-05-19 00:00:00+00:00,EGX50LASTEWIMB,48,2,2,48,46
2024-05-20 00:00:00+00:00,EGX50LASTEWIMB,49,1,0,50,49
2024-05-21 00:00:00+00:00,EGX50LASTEWIMB,49,1,0,50,49
2024-05-22 00:00:00+00:00,EGX50LASTEWIMB,49,1,0,50,49
2024-05-23 00:00:00+00:00,EGX50LASTEWIMB,46,4,0,50,46
2024-05-26 00:00:00+00:00,EGX50LASTEWIMB,44,6,1,49,43
2024-05-27 00:00:00+00:00,EGX50LASTEWIMB,43,7,1,49,42
2024-05-28 00:00:00+00:00,EGX50LASTEWIMB,42,8,4,46,38
2024-05-29 00:00:00+00:00,EGX50LASTEWIMB,40,10,4,46,36
2024-05-30 00:00:00+00:00,EGX50LASTEWIMB,31,19,8,42,23
2024-06-02 00:00:00+00:00,EGX50LASTEWIMB,26,24,14,36,12
2024-06-03 00:00:00+00:00,EGX50LASTEWIMB,18,32,18,32,0
2024-06-04 00:00:00+00:00,EGX50LASTEWIMB,16,34,22,28,-6
2024-06-05 00:00:00+00:00,EGX50LASTEWIMB,11,39,33,17,-22
2024-06-06 00:00:00+00:00,EGX50LASTEWIMB,7,43,38,12,-31
2024-06-09 00:00:00+00:00,EGX50LASTEWIMB,4,46,45,5,-41
2024-06-10 00:00:00+00:00,EGX50LASTEWIMB,3,47,46,4,-43
2024-06-11 00:00:00+00:00,EGX50LASTEWIMB,4,46,45,5,-41
2024-06-12 00:00:00+00:00,EGX50LASTEWIMB,6,44,43,7,-37
2024-06-13 00:00:00+00:00,EGX50LASTEWIMB,8,42,35,15,-27
2024-06-23 00:00:00+00:00,EGX50LASTEWIMB,15,35,25,25,-10
2024-06-24 00:00:00+00:00,EGX50LASTEWIMB,18,32,23,27,-5
2024-06-25 00:00:00+00:00,EGX50LASTEWIMB,21,29,15,35,6
2024-06-26 00:00:00+00:00,EGX50LASTEWIMB,27,23,12,38,15
2024-06-27 00:00:00+00:00,EGX50LASTEWIMB,32,18,10,40,22
2024-07-01 00:00:00+00:00,EGX50LASTEWIMB,32,18,9,41,23
2024-07-02 00:00:00+00:00,EGX50LASTEWIMB,35,15,9,41,26
2024-07-03 00:00:00+00:00,EGX50LASTEWIMB,35,15,8,42,27
2024-07-04 00:00:00+00:00,EGX50LASTEWIMB,34,16,8,42,26
2024-07-07 00:00:00+00:00,EGX50LASTEWIMB,29,21,9,41,20
2024-07-08 00:00:00+00:00,EGX50LASTEWIMB,23,27,14,36,9
2024-07-09 00:00:00+00:00,EGX50LASTEWIMB,16,34,23,27,-7
2024-07-10 00:00:00+00:00,EGX50LASTEWIMB,12,38,26,24,-14
2024-07-14 00:00:00+00:00,EGX50LASTEWIMB,8,42,30,20,-22
2024-07-15 00:00:00+00:00,EGX50LASTEWIMB,6,44,31,19,-25
2024-07-16 00:00:00+00:00,EGX50LASTEWIMB,4,46,33,17,-29
2024-07-17 00:00:00+00:00,EGX50LASTEWIMB,8,42,31,19,-23
2024-07-18 00:00:00+00:00,EGX50LASTEWIMB,9,41,31,19,-22
2024-07-21 00:00:00+00:00,EGX50LASTEWIMB,11,39,30,20,-19
2024-07-22 00:00:00+00:00,EGX50LASTEWIMB,16,34,28,22,-12
2024-07-23 00:00:00+00:00,EGX50LASTEWIMB,16,34,24,26,-8
2024-07-24 00:00:00+00:00,EGX50LASTEWIMB,15,35,25,25,-10
2024-07-28 00:00:00+00:00,EGX50LASTEWIMB,15,35,26,24,-11
2024-07-29 00:00:00+00:00,EGX50LASTEWIMB,17,33,25,25,-8
2024-07-30 00:00:00+00:00,EGX50LASTEWIMB,19,31,24,26,-5
2024-07-31 00:00:00+00:00,EGX50LASTEWIMB,21,29,23,27,-2
2024-08-01 00:00:00+00:00,EGX50LASTEWIMB,21,29,22,28,-1
2024-08-04 00:00:00+00:00,EGX50LASTEWIMB,17,33,28,22,-11
2024-08-05 00:00:00+00:00,EGX50LASTEWIMB,13,37,33,17,-20
2024-08-06 00:00:00+00:00,EGX50LASTEWIMB,13,37,33,17,-20
2024-08-07 00:00:00+00:00,EGX50LASTEWIMB,10,40,33,17,-23
2024-08-08 00:00:00+00:00,EGX50LASTEWIMB,10,40,32,18,-22
2024-08-11 00:00:00+00:00,EGX50LASTEWIMB,12,38,28,22,-16
2024-08-12 00:00:00+00:00,EGX50LASTEWIMB,13,37,27,23,-14
2024-08-13 00:00:00+00:00,EGX50LASTEWIMB,14,36,25,25,-11
2024-08-14 00:00:00+00:00,EGX50LASTEWIMB,16,34,23,27,-7
2024-08-15 00:00:00+00:00,EGX50LASTEWIMB,23,27,20,30,3
