Date,Ticker,Long Count,Exit Long Count,Short Count,Exit Short Count,Long - Short Cout
2024-05-01 00:00:00+00:00,EGX70LASTEWIMB,2,68,53,17,-51
2024-05-02 00:00:00+00:00,EGX70LASTEWIMB,2,68,53,17,-51
2024-05-07 00:00:00+00:00,EGX70LASTEWIMB,6,64,47,23,-41
2024-05-08 00:00:00+00:00,EGX70LASTEWIMB,6,64,48,22,-42
2024-05-09 00:00:00+00:00,EGX70LASTEWIMB,8,62,44,26,-36
2024-05-12 00:00:00+00:00,EGX70LASTEWIMB,8,62,43,27,-35
2024-05-13 00:00:00+00:00,EGX70LASTEWIMB,10,60,43,27,-33
2024-05-14 00:00:00+00:00,EGX70LASTEWIMB,12,58,41,29,-29
2024-05-15 00:00:00+00:00,EGX70LASTEWIMB,17,53,36,34,-19
2024-05-16 00:00:00+00:00,EGX70LASTEWIMB,35,35,22,48,13
2024-05-19 00:00:00+00:00,EGX70LASTEWIMB,55,15,7,63,48
2024-05-20 00:00:00+00:00,EGX70LASTEWIMB,57,13,4,66,53
2024-05-21 00:00:00+00:00,EGX70LASTEWIMB,57,13,3,67,54
2024-05-22 00:00:00+00:00,EGX70LASTEWIMB,57,13,3,67,54
2024-05-23 00:00:00+00:00,EGX70LASTEWIMB,56,14,1,69,55
2024-05-26 00:00:00+00:00,EGX70LASTEWIMB,56,14,2,68,54
2024-05-27 00:00:00+00:00,EGX70LASTEWIMB,56,14,3,67,53
2024-05-28 00:00:00+00:00,EGX70LASTEWIMB,55,15,5,65,50
2024-05-29 00:00:00+00:00,EGX70LASTEWIMB,52,18,5,65,47
2024-05-30 00:00:00+00:00,EGX70LASTEWIMB,41,29,6,64,35
2024-06-02 00:00:00+00:00,EGX70LASTEWIMB,35,35,11,59,24
2024-06-03 00:00:00+00:00,EGX70LASTEWIMB,21,49,18,52,3
2024-06-04 00:00:00+00:00,EGX70LASTEWIMB,18,52,20,50,-2
2024-06-05 00:00:00+00:00,EGX70LASTEWIMB,8,62,41,29,-33
2024-06-06 00:00:00+00:00,EGX70LASTEWIMB,5,65,45,25,-40
2024-06-09 00:00:00+00:00,EGX70LASTEWIMB,3,67,58,12,-55
2024-06-10 00:00:00+00:00,EGX70LASTEWIMB,2,68,57,13,-55
2024-06-11 00:00:00+00:00,EGX70LASTEWIMB,5,65,55,15,-50
2024-06-12 00:00:00+00:00,EGX70LASTEWIMB,9,61,52,18,-43
2024-06-13 00:00:00+00:00,EGX70LASTEWIMB,11,59,47,23,-36
2024-06-23 00:00:00+00:00,EGX70LASTEWIMB,22,48,31,39,-9
2024-06-24 00:00:00+00:00,EGX70LASTEWIMB,28,42,26,44,2
2024-06-25 00:00:00+00:00,EGX70LASTEWIMB,31,39,18,52,13
2024-06-26 00:00:00+00:00,EGX70LASTEWIMB,34,36,15,55,19
2024-06-27 00:00:00+00:00,EGX70LASTEWIMB,35,35,14,56,21
2024-07-01 00:00:00+00:00,EGX70LASTEWIMB,38,32,12,58,26
2024-07-02 00:00:00+00:00,EGX70LASTEWIMB,40,30,12,58,28
2024-07-03 00:00:00+00:00,EGX70LASTEWIMB,41,29,12,58,29
2024-07-04 00:00:00+00:00,EGX70LASTEWIMB,40,30,14,56,26
2024-07-07 00:00:00+00:00,EGX70LASTEWIMB,34,36,16,54,18
2024-07-08 00:00:00+00:00,EGX70LASTEWIMB,26,44,18,52,8
2024-07-09 00:00:00+00:00,EGX70LASTEWIMB,19,51,28,42,-9
2024-07-10 00:00:00+00:00,EGX70LASTEWIMB,14,56,39,31,-25
2024-07-14 00:00:00+00:00,EGX70LASTEWIMB,11,59,40,30,-29
2024-07-15 00:00:00+00:00,EGX70LASTEWIMB,12,58,44,26,-32
2024-07-16 00:00:00+00:00,EGX70LASTEWIMB,10,60,45,25,-35
2024-07-17 00:00:00+00:00,EGX70LASTEWIMB,10,60,45,25,-35
2024-07-18 00:00:00+00:00,EGX70LASTEWIMB,11,59,45,25,-34
2024-07-21 00:00:00+00:00,EGX70LASTEWIMB,17,53,41,29,-24
2024-07-22 00:00:00+00:00,EGX70LASTEWIMB,21,49,36,34,-15
2024-07-23 00:00:00+00:00,EGX70LASTEWIMB,21,49,34,36,-13
2024-07-24 00:00:00+00:00,EGX70LASTEWIMB,24,46,33,37,-9
2024-07-28 00:00:00+00:00,EGX70LASTEWIMB,23,47,34,36,-11
2024-07-29 00:00:00+00:00,EGX70LASTEWIMB,25,45,32,38,-7
2024-07-30 00:00:00+00:00,EGX70LASTEWIMB,27,43,31,39,-4
2024-07-31 00:00:00+00:00,EGX70LASTEWIMB,27,43,31,39,-4
2024-08-01 00:00:00+00:00,EGX70LASTEWIMB,22,48,37,33,-15
2024-08-04 00:00:00+00:00,EGX70LASTEWIMB,15,55,48,22,-33
2024-08-05 00:00:00+00:00,EGX70LASTEWIMB,6,64,61,9,-55
2024-08-06 00:00:00+00:00,EGX70LASTEWIMB,7,63,61,9,-54
2024-08-07 00:00:00+00:00,EGX70LASTEWIMB,7,63,61,9,-54
2024-08-08 00:00:00+00:00,EGX70LASTEWIMB,9,61,60,10,-51
2024-08-11 00:00:00+00:00,EGX70LASTEWIMB,12,58,54,16,-42
2024-08-12 00:00:00+00:00,EGX70LASTEWIMB,10,60,55,15,-45
2024-08-13 00:00:00+00:00,EGX70LASTEWIMB,11,59,53,17,-42
2024-08-14 00:00:00+00:00,EGX70LASTEWIMB,13,57,48,22,-35
2024-08-15 00:00:00+00:00,EGX70LASTEWIMB,17,53,43,27,-26
2024-08-18 00:00:00+00:00,EGX70LASTEWIMB,24,46,33,37,-9
2024-08-19 00:00:00+00:00,EGX70LASTEWIMB,27,43,30,40,-3
2024-08-20 00:00:00+00:00,EGX70LASTEWIMB,31,39,26,44,5
2024-08-21 00:00:00+00:00,EGX70LASTEWIMB,37,33,21,49,16
2024-08-22 00:00:00+00:00,EGX70LASTEWIMB,41,29,20,50,21
2024-08-25 00:00:00+00:00,EGX70LASTEWIMB,41,29,19,51,22
2024-08-26 00:00:00+00:00,EGX70LASTEWIMB,39,31,22,48,17
2024-08-27 00:00:00+00:00,EGX70LASTEWIMB,40,30,22,48,18
2024-08-28 00:00:00+00:00,EGX70LASTEWIMB,41,29,22,48,19
2024-08-29 00:00:00+00:00,EGX70LASTEWIMB,40,30,22,48,18
2024-09-01 00:00:00+00:00,EGX70LASTEWIMB,42,28,23,47,19
2024-09-02 00:00:00+00:00,EGX70LASTEWIMB,38,32,25,45,13
2024-09-03 00:00:00+00:00,EGX70LASTEWIMB,35,35,24,46,11
2024-09-04 00:00:00+00:00,EGX70LASTEWIMB,37,33,23,47,14
2024-09-05 00:00:00+00:00,EGX70LASTEWIMB,34,36,24,46,10
2024-09-08 00:00:00+00:00,EGX70LASTEWIMB,24,46,35,35,-11
2024-09-09 00:00:00+00:00,EGX70LASTEWIMB,23,47,37,33,-14
2024-09-10 00:00:00+00:00,EGX70LASTEWIMB,17,53,47,23,-30
2024-09-11 00:00:00+00:00,EGX70LASTEWIMB,17,53,47,23,-30
2024-09-12 00:00:00+00:00,EGX70LASTEWIMB,12,58,47,23,-35
2024-09-16 00:00:00+00:00,EGX70LASTEWIMB,9,61,51,19,-42
2024-09-17 00:00:00+00:00,EGX70LASTEWIMB,10,60,52,18,-42
2024-09-18 00:00:00+00:00,EGX70LASTEWIMB,11,59,51,19,-40
2024-09-19 00:00:00+00:00,EGX70LASTEWIMB,11,59,51,19,-40
2024-09-22 00:00:00+00:00,EGX70LASTEWIMB,15,55,46,24,-31
2024-09-23 00:00:00+00:00,EGX70LASTEWIMB,21,49,39,31,-18
2024-09-24 00:00:00+00:00,EGX70LASTEWIMB,23,47,34,36,-11
2024-09-25 00:00:00+00:00,EGX70LASTEWIMB,28,42,26,44,2
2024-09-26 00:00:00+00:00,EGX70LASTEWIMB,28,42,24,46,4
2024-09-29 00:00:00+00:00,EGX70LASTEWIMB,31,39,21,49,10
2024-09-30 00:00:00+00:00,EGX70LASTEWIMB,35,35,21,49,14
2024-10-01 00:00:00+00:00,EGX70LASTEWIMB,42,28,14,56,28
2024-10-02 00:00:00+00:00,EGX70LASTEWIMB,40,30,14,56,26
2024-10-03 00:00:00+00:00,EGX70LASTEWIMB,37,33,19,51,18
2024-10-07 00:00:00+00:00,EGX70LASTEWIMB,26,44,24,46,2
2024-10-08 00:00:00+00:00,EGX70LASTEWIMB,18,52,48,22,-30
2024-10-09 00:00:00+00:00,EGX70LASTEWIMB,18,52,48,22,-30
2024-10-10 00:00:00+00:00,EGX70LASTEWIMB,15,55,49,21,-34
2024-10-13 00:00:00+00:00,EGX70LASTEWIMB,11,59,55,15,-44
2024-10-14 00:00:00+00:00,EGX70LASTEWIMB,12,58,56,14,-44
2024-10-15 00:00:00+00:00,EGX70LASTEWIMB,13,57,54,16,-41
2024-10-16 00:00:00+00:00,EGX70LASTEWIMB,13,57,53,17,-40
2024-10-17 00:00:00+00:00,EGX70LASTEWIMB,15,55,49,21,-34
2024-10-20 00:00:00+00:00,EGX70LASTEWIMB,13,57,48,22,-35
2024-10-21 00:00:00+00:00,EGX70LASTEWIMB,16,54,45,25,-29
2024-10-22 00:00:00+00:00,EGX70LASTEWIMB,26,44,36,34,-10
2024-10-23 00:00:00+00:00,EGX70LASTEWIMB,32,38,29,41,3
2024-10-24 00:00:00+00:00,EGX70LASTEWIMB,37,33,24,46,13
2024-10-27 00:00:00+00:00,EGX70LASTEWIMB,39,31,16,54,23
2024-10-28 00:00:00+00:00,EGX70LASTEWIMB,41,29,15,55,26
2024-10-29 00:00:00+00:00,EGX70LASTEWIMB,42,28,17,53,25
2024-10-30 00:00:00+00:00,EGX70LASTEWIMB,41,29,18,52,23
2024-10-31 00:00:00+00:00,EGX70LASTEWIMB,43,27,16,54,27
2024-11-03 00:00:00+00:00,EGX70LASTEWIMB,46,24,13,57,33
2024-11-04 00:00:00+00:00,EGX70LASTEWIMB,44,26,18,52,26
2024-11-05 00:00:00+00:00,EGX70LASTEWIMB,41,29,21,49,20
2024-11-06 00:00:00+00:00,EGX70LASTEWIMB,41,29,22,48,19
2024-11-07 00:00:00+00:00,EGX70LASTEWIMB,37,33,22,48,15
2024-11-10 00:00:00+00:00,EGX70LASTEWIMB,34,36,24,46,10
2024-11-11 00:00:00+00:00,EGX70LASTEWIMB,33,37,27,43,6
2024-11-12 00:00:00+00:00,EGX70LASTEWIMB,32,38,29,41,3
2024-11-13 00:00:00+00:00,EGX70LASTEWIMB,30,40,30,40,0
2024-11-14 00:00:00+00:00,EGX70LASTEWIMB,27,43,33,37,-6
2024-11-17 00:00:00+00:00,EGX70LASTEWIMB,25,45,34,36,-9
2024-11-18 00:00:00+00:00,EGX70LASTEWIMB,15,55,39,31,-24
2024-11-19 00:00:00+00:00,EGX70LASTEWIMB,16,54,44,26,-28
2024-11-20 00:00:00+00:00,EGX70LASTEWIMB,12,58,46,24,-34
2024-11-21 00:00:00+00:00,EGX70LASTEWIMB,11,59,46,24,-35
2024-11-24 00:00:00+00:00,EGX70LASTEWIMB,11,59,49,21,-38
2024-11-25 00:00:00+00:00,EGX70LASTEWIMB,10,60,50,20,-40
2024-11-26 00:00:00+00:00,EGX70LASTEWIMB,10,60,51,19,-41
2024-11-27 00:00:00+00:00,EGX70LASTEWIMB,10,60,51,19,-41
2024-11-28 00:00:00+00:00,EGX70LASTEWIMB,11,59,50,20,-39
2024-12-01 00:00:00+00:00,EGX70LASTEWIMB,14,56,48,22,-34
2024-12-02 00:00:00+00:00,EGX70LASTEWIMB,15,55,48,22,-33
2024-12-03 00:00:00+00:00,EGX70LASTEWIMB,19,51,42,28,-23
2024-12-04 00:00:00+00:00,EGX70LASTEWIMB,21,49,37,33,-16
2024-12-05 00:00:00+00:00,EGX70LASTEWIMB,27,43,31,39,-4
2024-12-08 00:00:00+00:00,EGX70LASTEWIMB,29,41,29,41,0
2024-12-09 00:00:00+00:00,EGX70LASTEWIMB,30,40,29,41,1
2024-12-10 00:00:00+00:00,EGX70LASTEWIMB,29,41,29,41,0
2024-12-11 00:00:00+00:00,EGX70LASTEWIMB,33,37,27,43,6
