BARTIMESTAMP,TICKER,OPEN,HIGH,LOW,CLOSE,VOLUME,ASSET,VWAP
1998-03-30 11:30:00+00:00,EGX100LASTEWI,29.74599345,29.94297079,29.65207967,29.80325664,416784,0,29.8006564
1998-03-30 11:35:00+00:00,EGX100LASTEWI,29.74555855,29.94297079,29.65231816,29.80281239,714183,0,29.8002122
1998-03-30 11:40:00+00:00,EGX100LASTEWI,29.7455492,29.94252654,29.65243975,29.80276562,257028,0,29.8001654
1998-03-30 11:45:00+00:00,EGX100LASTEWI,29.74550244,29.94297079,29.65236493,29.8026417,405294,0,29.8000415
1998-03-30 11:50:00+00:00,EGX100LASTEWI,29.74532707,29.94230441,29.65207967,29.80235644,428271,0,29.7997562
1998-03-30 11:55:00+00:00,EGX100LASTEWI,29.74525656,29.94232742,29.65215179,29.8025782,68775,0,29.799978
1998-03-30 12:00:00+00:00,EGX100LASTEWI,29.74786447,29.94490261,29.65467787,29.80518845,992502,0,29.8025882
1998-03-30 12:05:00+00:00,EGX100LASTEWI,29.74792527,29.94501951,29.6548883,29.80518845,837188,0,29.8025882
1998-03-30 12:10:00+00:00,EGX100LASTEWI,29.74815908,29.94513642,29.65502859,29.80542227,1028524,0,29.8028221
1998-03-30 12:15:00+00:00,EGX100LASTEWI,29.74815675,29.94513642,29.65491168,29.80518845,1098491,0,29.8025882
1998-03-30 12:20:00+00:00,EGX100LASTEWI,29.74792527,29.94499613,29.65491168,29.80523522,25773,0,29.802635
1998-03-30 12:25:00+00:00,EGX100LASTEWI,29.74792527,29.94490261,29.65490934,29.80518612,272933,0,29.8025859
1998-03-30 12:30:00+00:00,EGX100LASTEWI,29.73771553,29.93469521,29.64464583,29.7949226,1134774,0,29.7923224
1998-03-30 12:35:00+00:00,EGX100LASTEWI,29.73776835,29.93469521,29.64475477,29.79497872,245542,0,29.7923785
1998-03-30 12:40:00+00:00,EGX100LASTEWI,29.73786995,29.93473836,29.64482597,29.79499381,90296,0,29.7923936
1998-03-30 12:45:00+00:00,EGX100LASTEWI,29.73786294,29.93473135,29.64482831,29.79499615,111220,0,29.7923959
1998-03-30 12:50:00+00:00,EGX100LASTEWI,29.73786294,29.93473135,29.64482597,29.79499381,111847,0,29.7923936
1998-03-30 12:55:00+00:00,EGX100LASTEWI,29.73783564,29.9354055,29.64481271,29.79569135,132906,0,29.7930911
1998-03-30 13:00:00+00:00,EGX100LASTEWI,29.73783129,29.93475119,29.64481771,29.79502769,1074302,0,29.792428
1998-03-30 13:05:00+00:00,EGX100LASTEWI,29.73656041,29.93344051,29.64352578,29.79372402,1842003,0,29.7911243
1998-03-30 13:10:00+00:00,EGX100LASTEWI,29.73787637,29.93475261,29.64483941,29.79502676,1251323,0,29.7924271
1998-03-30 13:15:00+00:00,EGX100LASTEWI,29.73835464,29.93490304,29.64534105,29.79518889,1154813,0,29.7925892
1998-03-30 13:20:00+00:00,EGX100LASTEWI,29.73848911,29.93494435,29.64547319,29.7952302,440786,0,29.7926305
1998-03-30 13:25:00+00:00,EGX100LASTEWI,29.73860997,29.93508072,29.64552953,29.79533785,4828540,0,29.7927382
1998-03-30 13:30:00+00:00,EGX100LASTEWI,29.7386053,29.93508072,29.6455342,29.79535889,156324,0,29.7927592
1998-03-30 13:35:00+00:00,EGX100LASTEWI,29.73828796,29.93502332,29.64526316,29.79527925,1022592,0,29.7926793
1998-03-30 13:40:00+00:00,EGX100LASTEWI,29.73723343,29.93368867,29.64397949,29.79379262,946428,0,29.7911927
1998-03-30 13:45:00+00:00,EGX100LASTEWI,29.7372059,29.9336884,29.64395196,29.79378467,3564360,0,29.7911843
1998-03-30 13:50:00+00:00,EGX100LASTEWI,29.75299219,29.94948648,29.64417353,29.79394153,1931941,0,29.7913412
1998-03-30 13:55:00+00:00,EGX100LASTEWI,29.75351266,29.95007142,29.6445911,29.79436144,62659,0,29.7917611
1998-03-30 14:00:00+00:00,EGX100LASTEWI,29.75281823,29.94927348,29.64393762,29.7936923,50800,0,29.7910913
1998-03-30 14:05:00+00:00,EGX100LASTEWI,29.75260437,29.94910638,29.64372095,29.79348965,215683,0,29.79088
1998-03-30 14:10:00+00:00,EGX100LASTEWI,29.73682221,29.93327777,29.64369992,29.7934666,918699,0,29.7908569
1998-03-30 14:15:00+00:00,EGX100LASTEWI,29.7377817,29.93428869,29.64476344,29.79454181,233743,0,29.7919321
1998-03-30 14:20:00+00:00,EGX100LASTEWI,29.73703421,29.93364502,29.64399724,29.79387241,236049,0,29.7912627
1998-03-30 14:25:00+00:00,EGX100LASTEWI,29.73463459,29.93122561,29.63562645,29.7855169,142864,0,29.7829072
1998-03-30 14:30:00+00:00,EGX100LASTEWI,29.73459061,29.93104961,29.63554272,29.78530115,895392,0,29.7826848
1998-03-30 14:35:00+00:00,EGX100LASTEWI,29.73450193,29.9310023,29.63469303,29.78445004,546887,0,29.7818304
1998-03-30 14:40:00+00:00,EGX100LASTEWI,29.734998,29.93195227,29.63511982,29.78537354,1007987,0,29.7827539
1998-03-30 14:45:00+00:00,EGX100LASTEWI,29.72932583,29.93443303,29.63549707,29.79390371,694754,0,29.7912807
1998-03-30 14:50:00+00:00,EGX100LASTEWI,29.72937342,29.93418587,29.63556804,29.7936766,698345,0,29.7910536
1998-03-30 14:55:00+00:00,EGX100LASTEWI,29.72943421,29.9342568,29.63562883,29.79374752,48641,0,29.7911245
1998-03-30 15:00:00+00:00,EGX100LASTEWI,29.73037414,29.93538759,29.6364542,29.79479648,397358,0,29.7921735
1998-03-30 15:05:00+00:00,EGX100LASTEWI,29.73060158,29.93560546,29.63644641,29.79480676,1264182,0,29.7921838
