BARTIMESTAMP,TICKER,OPEN,HIGH,LOW,CLOSE,VOLUME,ASSET,VWAP
1998-03-30 11:35:00+00:00,EGX70LASTEWI,33.60713773,33.83244944,33.57334993,33.70246014,1585,0,33.7173348
1998-03-30 11:55:00+00:00,EGX70LASTEWI,33.60720438,33.83251609,33.57341659,33.70252679,1268,0,33.7174014
1998-03-30 12:00:00+00:00,EGX70LASTEWI,33.61087034,33.83618206,33.57708255,33.70619276,211,0,33.7210674
1998-03-30 12:05:00+00:00,EGX70LASTEWI,33.61087034,33.83618206,33.57708255,33.70619276,211,0,33.7210674
1998-03-30 12:10:00+00:00,EGX70LASTEWI,33.61087034,33.83618206,33.57708255,33.70619276,300,0,33.7210674
1998-03-30 12:15:00+00:00,EGX70LASTEWI,33.61087034,33.83618206,33.57708255,33.70619276,71170,0,33.7210674
1998-03-30 12:20:00+00:00,EGX70LASTEWI,37.40122203,37.62014204,37.37711189,37.4947781,3130,0,37.4995646
1998-03-30 12:25:00+00:00,EGX70LASTEWI,33.61087317,33.83618488,33.57708538,33.70619558,49746,0,33.7210702
1998-03-30 12:30:00+00:00,EGX70LASTEWI,33.59620902,33.82152073,33.56242123,33.69153143,91538,0,33.7064061
1998-03-30 12:35:00+00:00,EGX70LASTEWI,33.59652522,33.82183693,33.56273743,33.69184763,9974,0,33.7067223
1998-03-30 12:40:00+00:00,EGX70LASTEWI,33.59641112,33.82172283,33.56262332,33.69173353,20032,0,33.7066082
1998-03-30 12:45:00+00:00,EGX70LASTEWI,37.15431896,37.37417803,37.11835358,37.24232691,27334,0,37.2457004
1998-03-30 12:50:00+00:00,EGX70LASTEWI,33.59641112,33.82172283,33.56262332,33.69173353,672,0,33.7066082
1998-03-30 12:55:00+00:00,EGX70LASTEWI,33.59641112,33.82172283,33.56248499,33.69159519,113796,0,33.7064698
1998-03-30 13:00:00+00:00,EGX70LASTEWI,33.59641112,33.82172283,33.56248499,33.69159519,1309,0,33.7064698
1998-03-30 13:05:00+00:00,EGX70LASTEWI,33.59494545,33.82025717,33.56115766,33.69026787,5269,0,33.7051425
1998-03-30 13:10:00+00:00,EGX70LASTEWI,33.5968192,33.82213091,33.5630314,33.69214161,93083,0,33.7070163
1998-03-30 13:15:00+00:00,EGX70LASTEWI,33.5977765,33.82315486,33.56398871,33.69316556,38891,0,33.7080402
1998-03-30 13:20:00+00:00,EGX70LASTEWI,33.59702725,33.82233896,33.56321123,33.69232143,55620,0,33.7071961
1998-03-30 13:25:00+00:00,EGX70LASTEWI,33.59703983,33.82235154,33.5632238,33.69233401,27640,0,33.7072087
